category,color_brightness,entropy,ID,instruction,instruction_type,Descript,param_ratio,Code,unit_n,verify
"Travel goods, cases, parasols and personal belongings, not elsewhere specified",Medium Bright,3.173102701,5ad79a0a-141c-4963-9763-bbb9747f9601,Envision a 3D model of a sofa that invites you to sit and relax. It should have ample seating space and supportive armrests.,Feature Question,Sofa,4.25,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
sofa_color = bpy.data.materials.new(name=""Sofa Color"")
sofa_color.diffuse_color = (0.5, 0.25, 0.25, 1)  # Medium brown color

# Step 2: Create the Seat
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.5))
seat = bpy.context.object
seat.name = ""Seat""
seat.scale[0] = 2  # Length
seat.scale[1] = 1  # Width
seat.scale[2] = 0.2  # Height
seat.data.materials.append(sofa_color)

# Step 3: Create the Backrest
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, -1.1, 1.2))
backrest = bpy.context.object
backrest.name = ""Backrest""
backrest.scale[0] = 2  # Length
backrest.scale[1] = 0.2  # Width
backrest.scale[2] = 0.8  # Height
backrest.data.materials.append(sofa_color)

# Step 4: Create the Armrests
for i in range(2):
    x = 2 * (i * 2 - 1)  # Position on the x-axis
    bpy.ops.mesh.primitive_cube_add(size=2, location=(x, 0, 0.9))
    armrest = bpy.context.object
    armrest.name = f""Armrest {i + 1}""
    armrest.scale[0] = 0.2  # Length
    armrest.scale[1] = 1  # Width
    armrest.scale[2] = 0.6  # Height
    armrest.data.materials.append(sofa_color)",4,gpt
Furnishing,Medium Bright,4.726491667,5d4da5a2-8fe8-48e6-bac1-80a970913ad0,Design a bird cage. It should have a round base and vertical bars forming a dome shape. Add a small door on the side for access. Ensure the bird cage looks simple and functional for housing a small bird.,Verbal Question,Bird Cage,5.75,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color
metal_color = bpy.data.materials.new(name=""Metal"")
metal_color.diffuse_color = (0.5, 0.5, 0.5, 1)  # Gray metal color

# Step 2: Create the Base
bpy.ops.mesh.primitive_cylinder_add(radius=1, depth=0.1, location=(0, 0, 0))
base = bpy.context.object
base.name = ""Base""
base.data.materials.append(metal_color)

# Step 3: Create the Vertical Bars
num_bars = 16
for i in range(num_bars):
    angle = (2 * math.pi / num_bars) * i
    x = math.cos(angle)
    y = math.sin(angle)
    bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=2, location=(x, y, 1))
    bar = bpy.context.object
    bar.name = f""Bar {i + 1}""
    bar.data.materials.append(metal_color)

# Step 4: Create the Dome Top
bpy.ops.mesh.primitive_uv_sphere_add(radius=1, location=(0, 0, 2))
dome = bpy.context.object
dome.name = ""Dome""
dome.scale[2] = 0.5  # Flatten the sphere to form a dome
dome.data.materials.append(metal_color)

# Step 5: Create the Door
bpy.ops.mesh.primitive_cube_add(size=0.5, location=(1, 0, 1))
door = bpy.context.object
door.name = ""Door""
door.scale[2] = 1.5  # Make the door taller
door.data.materials.append(metal_color)

# Adjust the door position to be on the side
door.rotation_euler[2] = math.pi / 2  # Rotate the door to be vertical
door.location[0] = 1.05  # Move the door slightly outside the cage
door.location[2] = 1  # Center the door vertically
",4,gpt
"Travel goods, cases, parasols and personal belongings, not elsewhere specified",Medium Bright,2.73850376,5e56555a-3188-426d-bcb8-3c0d48ea8bc9,Create a bedside table with a single drawer. The table should be about 2 feet tall and have a flat top surface for placing items like a lamp or books.,Feature Question,Bedside Table,1.666666667,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the dimensions
table_height = 2 * 0.3048  # 2 feet in meters
table_top_thickness = 0.05
drawer_height = 0.3
leg_thickness = 0.05
table_top_size = 0.6

# Step 2: Create the Table Top
bpy.ops.mesh.primitive_cube_add(size=table_top_size, location=(0, 0, table_height - table_top_thickness / 2))
table_top = bpy.context.object
table_top.name = ""Table Top""
table_top.scale[2] = table_top_thickness / table_top_size

# Step 3: Create the Legs
for i in range(4):
    x = (table_top_size / 2 - leg_thickness / 2) * (1 if i % 2 == 0 else -1)
    y = (table_top_size / 2 - leg_thickness / 2) * (1 if i // 2 == 0 else -1)
    bpy.ops.mesh.primitive_cube_add(size=leg_thickness, location=(x, y, table_height / 2))
    leg = bpy.context.object
    leg.name = f""Leg {i + 1}""
    leg.scale[2] = (table_height - table_top_thickness) / leg_thickness

# Step 4: Create the Drawer
bpy.ops.mesh.primitive_cube_add(size=table_top_size * 0.8, location=(0, 0, table_height - table_top_thickness - drawer_height / 2))
drawer = bpy.context.object
drawer.name = ""Drawer""
drawer.scale[2] = drawer_height / (table_top_size * 0.8)
",6,gpt
"Games, toys, tents and sports goods",Bright,4.158883083,6d8e6429-350d-44d4-9c78-bdd7020edb10,Create a 3D model of a sofa with three cushions on the seat and three on the backrest.,Feeling Question,Sofa,3.25,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
sofa_color = bpy.data.materials.new(name=""SofaColor"")
sofa_color.diffuse_color = (0.5, 0.25, 0.25, 1)  # Medium brown color
cushion_color = bpy.data.materials.new(name=""CushionColor"")
cushion_color.diffuse_color = (0.75, 0.75, 0.75, 1)  # Light gray color

# Step 2: Create the Sofa Base
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.5))
sofa_base = bpy.context.object
sofa_base.name = ""Sofa Base""
sofa_base.scale = (2, 1, 0.5)
sofa_base.data.materials.append(sofa_color)

# Step 3: Create the Backrest
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, -0.75, 1.25))
backrest = bpy.context.object
backrest.name = ""Backrest""
backrest.scale = (2, 0.25, 0.75)
backrest.data.materials.append(sofa_color)

# Step 4: Create the Seat Cushions
for i in range(3):
    x = (i - 1) * 1.3
    bpy.ops.mesh.primitive_cube_add(size=1, location=(x, 0, 1))
    seat_cushion = bpy.context.object
    seat_cushion.name = f""Seat Cushion {i + 1}""
    seat_cushion.scale = (0.6, 0.9, 0.2)
    seat_cushion.data.materials.append(cushion_color)

# Step 5: Create the Backrest Cushions
for i in range(3):
    x = (i - 1) * 1.3
    bpy.ops.mesh.primitive_cube_add(size=1, location=(x, -0.75, 1.75))
    backrest_cushion = bpy.context.object
    backrest_cushion.name = f""Backrest Cushion {i + 1}""
    backrest_cushion.scale = (0.6, 0.2, 0.6)
    backrest_cushion.data.materials.append(cushion_color)",8,gpt
"Games, toys, tents and sports goods",Medium Bright,4.940572724,86dcb234-2795-4818-8b69-7884d72ba755,"Craft a mandala design. This design should be intricate and symmetrical, featuring a series of concentric circles. Each circle should contain repeating geometric patterns, such as triangles, squares, and circles. The design should radiate from a central point and gradually become more complex as it moves outward.",Specific Usage Question,Mandala Design,4.25,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Helper function to create a circle with geometric patterns
def create_pattern_circle(radius, num_patterns, pattern_type, height=0.1):
    angle_step = 2 * math.pi / num_patterns
    for i in range(num_patterns):
        angle = i * angle_step
        x = radius * math.cos(angle)
        y = radius * math.sin(angle)
        
        if pattern_type == 'triangle':
            bpy.ops.mesh.primitive_cone_add(vertices=3, radius1=0.1, depth=height, location=(x, y, 0))
        elif pattern_type == 'square':
            bpy.ops.mesh.primitive_cube_add(size=0.2, location=(x, y, 0))
        elif pattern_type == 'circle':
            bpy.ops.mesh.primitive_cylinder_add(radius=0.1, depth=height, location=(x, y, 0))
        
        pattern = bpy.context.object
        pattern.rotation_euler[2] = angle

# Step 2: Create concentric circles with patterns
create_pattern_circle(1, 8, 'triangle')
create_pattern_circle(2, 16, 'square')
create_pattern_circle(3, 24, 'circle')
create_pattern_circle(4, 32, 'triangle')
create_pattern_circle(5, 40, 'square')

# Step 3: Create the central point
bpy.ops.mesh.primitive_uv_sphere_add(radius=0.2, location=(0, 0, 0))
central_point = bpy.context.object
central_point.name = ""Central Point""",4,gpt
"Stationery and office equipment, artists' and teaching materials",Medium Bright,4.784560099,8a1f91e8-40a2-41c1-bdbf-3ff472f06cba,Generate a 3D model of a pizza with various toppings.,Verbal Question,Pizza,3.636363636,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
dough_color = bpy.data.materials.new(name=""Dough Color"")
dough_color.diffuse_color = (0.92, 0.76, 0.56, 1)  # Light brown color for dough
sauce_color = bpy.data.materials.new(name=""Sauce Color"")
sauce_color.diffuse_color = (0.8, 0.1, 0.1, 1)  # Red color for sauce
cheese_color = bpy.data.materials.new(name=""Cheese Color"")
cheese_color.diffuse_color = (0.95, 0.87, 0.45, 1)  # Yellow color for cheese
pepperoni_color = bpy.data.materials.new(name=""Pepperoni Color"")
pepperoni_color.diffuse_color = (0.6, 0.1, 0.1, 1)  # Dark red color for pepperoni

# Step 2: Create the Pizza Base
bpy.ops.mesh.primitive_cylinder_add(radius=1, depth=0.1, location=(0, 0, 0))
base = bpy.context.object
base.name = ""Pizza Base""
base.data.materials.append(dough_color)

# Step 3: Create the Sauce Layer
bpy.ops.mesh.primitive_cylinder_add(radius=0.95, depth=0.02, location=(0, 0, 0.06))
sauce = bpy.context.object
sauce.name = ""Sauce Layer""
sauce.data.materials.append(sauce_color)

# Step 4: Create the Cheese Layer
bpy.ops.mesh.primitive_cylinder_add(radius=0.9, depth=0.02, location=(0, 0, 0.08))
cheese = bpy.context.object
cheese.name = ""Cheese Layer""
cheese.data.materials.append(cheese_color)

# Step 5: Create Pepperoni Slices
for i in range(8):
    angle = i * (math.pi / 4)
    x = 0.65 * math.cos(angle)
    y = 0.65 * math.sin(angle)
    bpy.ops.mesh.primitive_cylinder_add(radius=0.1, depth=0.02, location=(x, y, 0.1))
    pepperoni = bpy.context.object
    pepperoni.name = f""Pepperoni {i + 1}""
    pepperoni.data.materials.append(pepperoni_color)",11,gpt
Foodstuffs,Medium Bright,4.8184629,9813a138-a417-4e1b-9935-d1babafb556b,"Hey, can you craft a 3D model of a hot air balloon in flight? Make it look like it's gently drifting through the sky with the basket and ropes visible.",Outlook Question,Hot Air Balloon,8.333333333,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
balloon_color = bpy.data.materials.new(name=""Balloon Color"")
balloon_color.diffuse_color = (0.8, 0.1, 0.1, 1)  # Red color
basket_color = bpy.data.materials.new(name=""Basket Color"")
basket_color.diffuse_color = (0.5, 0.25, 0.1, 1)  # Brown color
rope_color = bpy.data.materials.new(name=""Rope Color"")
rope_color.diffuse_color = (0.8, 0.8, 0.8, 1)  # Light gray color

# Step 2: Create the Balloon
bpy.ops.mesh.primitive_uv_sphere_add(radius=1, location=(0, 0, 2))
balloon = bpy.context.object
balloon.name = ""Balloon""
balloon.data.materials.append(balloon_color)

# Step 3: Create the Basket
bpy.ops.mesh.primitive_cube_add(size=0.5, location=(0, 0, 0))
basket = bpy.context.object
basket.name = ""Basket""
basket.data.materials.append(basket_color)

# Step 4: Create the Ropes
rope_positions = [(0.25, 0.25, 1), (-0.25, 0.25, 1), (0.25, -0.25, 1), (-0.25, -0.25, 1)]
for pos in rope_positions:
    bpy.ops.mesh.primitive_cylinder_add(radius=0.02, depth=2, location=pos)
    rope = bpy.context.object
    rope.name = ""Rope""
    rope.data.materials.append(rope_color)
",3,gpt
"Graphic symbols and logos, surface patterns, ornamentation, arrangement of interiors and exteriors",Medium Bright,4.044487806,c6617f41-3264-419f-ab44-3c3a0944d512,"Compare this paperclip holder to a standard office paperclip holder. It should be able to hold a large number of paperclips and have a simple, functional design.",Design Question,Paperclip Holder,6.666666667,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color
gray = bpy.data.materials.new(name=""Gray"")
gray.diffuse_color = (0.5, 0.5, 0.5, 1)  # Gray color

# Step 2: Create the Base
bpy.ops.mesh.primitive_cylinder_add(radius=1.5, depth=0.2, location=(0, 0, 0))
base = bpy.context.object
base.name = ""Base""
base.data.materials.append(gray)

# Step 3: Create the Holder Body
bpy.ops.mesh.primitive_cylinder_add(radius=1.4, depth=2, location=(0, 0, 1.1))
holder_body = bpy.context.object
holder_body.name = ""Holder Body""
holder_body.data.materials.append(gray)

# Step 4: Create the Inner Space (Boolean Modifier)
bpy.ops.mesh.primitive_cylinder_add(radius=1.3, depth=2, location=(0, 0, 1.1))
inner_space = bpy.context.object
inner_space.name = ""Inner Space""

# Apply Boolean Modifier
mod_bool = holder_body.modifiers.new(name=""Boolean"", type='BOOLEAN')
mod_bool.operation = 'DIFFERENCE'
mod_bool.object = inner_space
bpy.context.view_layer.objects.active = holder_body
bpy.ops.object.modifier_apply(modifier=""Boolean"")
bpy.data.objects.remove(inner_space)
",3,gpt
"Machines and appliances for preparing food or drink, not elsewhere specified",Dark,3.938584988,04b96320-a3be-43ec-97bc-2082e5f12e43,Please create a 3D model of a transformer. The transformer should have a rectangular body with cylindrical coils on either side and two terminals on top for connections.,Feeling Question,Transformer,5.8,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
body_color = bpy.data.materials.new(name=""BodyColor"")
body_color.diffuse_color = (0.5, 0.5, 0.5, 1)  # Gray color for the body
coil_color = bpy.data.materials.new(name=""CoilColor"")
coil_color.diffuse_color = (0.8, 0.4, 0.1, 1)  # Orange color for the coils
terminal_color = bpy.data.materials.new(name=""TerminalColor"")
terminal_color.diffuse_color = (0.1, 0.1, 0.1, 1)  # Black color for the terminals

# Step 2: Create the Body
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0))
body = bpy.context.object
body.name = ""Body""
body.scale = (1, 0.5, 1)
body.data.materials.append(body_color)

# Step 3: Create the Coils
for i in range(2):
    x = 1.2 * (i * 2 - 1)
    bpy.ops.mesh.primitive_cylinder_add(radius=0.3, depth=1, location=(x, 0, 0))
    coil = bpy.context.object
    coil.name = f""Coil {i + 1}""
    coil.data.materials.append(coil_color)

# Step 4: Create the Terminals
for i in range(2):
    x = 0.5 * (i * 2 - 1)
    bpy.ops.mesh.primitive_cylinder_add(radius=0.1, depth=0.4, location=(x, 0, 1.1))
    terminal = bpy.context.object
    terminal.name = f""Terminal {i + 1}""
    terminal.data.materials.append(terminal_color)",5,gpt
Musical instruments,Medium Bright,4.910921782,0b289fa3-17b1-43e3-873c-d757358956d8,Create a fuse with a cylindrical body and metal caps on both ends.,Outlook Question,Fuse,8.333333333,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
glass_body = bpy.data.materials.new(name=""Glass Body"")
glass_body.diffuse_color = (0.8, 0.8, 0.8, 1)  # Light gray color for glass body
metal_cap = bpy.data.materials.new(name=""Metal Cap"")
metal_cap.diffuse_color = (0.5, 0.5, 0.5, 1)  # Medium gray color for metal caps

# Step 2: Create the Glass Body
bpy.ops.mesh.primitive_cylinder_add(radius=0.1, depth=1.0, location=(0, 0, 0))
body = bpy.context.object
body.name = ""Glass Body""
body.data.materials.append(glass_body)

# Step 3: Create the Metal Caps
bpy.ops.mesh.primitive_cylinder_add(radius=0.12, depth=0.2, location=(0, 0, -0.6))
cap1 = bpy.context.object
cap1.name = ""Metal Cap 1""
cap1.data.materials.append(metal_cap)

bpy.ops.mesh.primitive_cylinder_add(radius=0.12, depth=0.2, location=(0, 0, 0.6))
cap2 = bpy.context.object
cap2.name = ""Metal Cap 2""
cap2.data.materials.append(metal_cap)",3,gpt
Means of transport or hoisting,Dark,3.659262484,2f5f40a2-1fbd-4ab9-84bf-e56a32c6e45c,"Can you create a 3D model of a coffee grinder? It should have a hopper on top for beans, a grinding mechanism, and a container at the bottom for ground coffee. The grinder should have a handle on the side for manual grinding.",Comparing Question,Coffee Grinder,7.4,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
metal = bpy.data.materials.new(name=""Metal"")
metal.diffuse_color = (0.5, 0.5, 0.5, 1)  # Gray metal color
wood = bpy.data.materials.new(name=""Wood"")
wood.diffuse_color = (0.54, 0.27, 0.07, 1)  # Brown wood color

# Step 2: Create the Hopper
bpy.ops.mesh.primitive_cone_add(radius1=0.3, radius2=0.1, depth=0.4, location=(0, 0, 1.2))
hopper = bpy.context.object
hopper.name = ""Hopper""
hopper.data.materials.append(metal)

# Step 3: Create the Grinding Mechanism
bpy.ops.mesh.primitive_cylinder_add(radius=0.25, depth=0.5, location=(0, 0, 0.75))
grinding_mechanism = bpy.context.object
grinding_mechanism.name = ""Grinding Mechanism""
grinding_mechanism.data.materials.append(metal)

# Step 4: Create the Container
bpy.ops.mesh.primitive_cube_add(size=0.5, location=(0, 0, 0.25))
container = bpy.context.object
container.name = ""Container""
container.data.materials.append(wood)

# Step 5: Create the Handle
bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=0.8, location=(0.35, 0, 0.75), rotation=(0, math.pi/2, 0))
handle = bpy.context.object
handle.name = ""Handle""
handle.data.materials.append(metal)

bpy.ops.mesh.primitive_uv_sphere_add(radius=0.1, location=(0.75, 0, 0.75))
handle_knob = bpy.context.object
handle_knob.name = ""Handle Knob""
handle_knob.data.materials.append(wood)",5,gpt
Tools and hardware,Very Bright,4.995504968,3bfedd07-9b41-4e37-b417-6be1a9c97aff,"Design a wedding cake with three tiers. Each tier should be a perfect cylinder, slightly smaller than the one below it. Decorate the cake with simple patterns and add a topper on the highest tier. Ensure the cake is balanced and visually appealing for a wedding celebration.",Verbal Question,Wedding Cake,5.6,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
white = bpy.data.materials.new(name=""White"")
white.diffuse_color = (1, 1, 1, 1)  # White color

# Step 2: Create the Bottom Tier
bpy.ops.mesh.primitive_cylinder_add(radius=1, depth=0.5, location=(0, 0, 0.25))
bottom_tier = bpy.context.object
bottom_tier.name = ""Bottom Tier""
bottom_tier.data.materials.append(white)

# Step 3: Create the Middle Tier
bpy.ops.mesh.primitive_cylinder_add(radius=0.75, depth=0.5, location=(0, 0, 0.75))
middle_tier = bpy.context.object
middle_tier.name = ""Middle Tier""
middle_tier.data.materials.append(white)

# Step 4: Create the Top Tier
bpy.ops.mesh.primitive_cylinder_add(radius=0.5, depth=0.5, location=(0, 0, 1.25))
top_tier = bpy.context.object
top_tier.name = ""Top Tier""
top_tier.data.materials.append(white)

# Step 5: Add Simple Patterns
# Add a ring around each tier
for i, radius in enumerate([1, 0.75, 0.5]):
    bpy.ops.mesh.primitive_torus_add(major_radius=radius, minor_radius=0.05, location=(0, 0, 0.5 * (i + 1)))
    ring = bpy.context.object
    ring.name = f""Ring {i + 1}""
    ring.data.materials.append(white)

# Step 6: Add a Topper
bpy.ops.mesh.primitive_uv_sphere_add(radius=0.1, location=(0, 0, 1.55))
topper = bpy.context.object
topper.name = ""Topper""
topper.data.materials.append(white)",5,gpt
Articles of clothing and haberdashery,Medium Bright,4.493178717,9937c337-9d21-409f-8f37-5c0baf97d75b,"Design an abstract sculpture for a modern art gallery. The sculpture should have flowing, interconnected shapes that create a sense of movement. It should be tall and slender, with a base that supports the structure.",Verbal Question,Abstract Sculpture,7.625,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color
sculpture_material = bpy.data.materials.new(name=""Sculpture Material"")
sculpture_material.diffuse_color = (0.5, 0.5, 0.5, 1)  # Medium gray color

# Step 2: Create the Base
bpy.ops.mesh.primitive_cylinder_add(radius=1, depth=0.2, location=(0, 0, 0.1))
base = bpy.context.object
base.name = ""Base""
base.data.materials.append(sculpture_material)

# Step 3: Create the Flowing Shapes
bpy.ops.mesh.primitive_torus_add(align='WORLD', location=(0, 0, 1), major_radius=0.5, minor_radius=0.1, rotation=(0, 0, math.pi/4))
shape1 = bpy.context.object
shape1.name = ""Shape 1""
shape1.data.materials.append(sculpture_material)

bpy.ops.mesh.primitive_torus_add(align='WORLD', location=(0, 0, 2), major_radius=0.4, minor_radius=0.1, rotation=(0, math.pi/4, 0))
shape2 = bpy.context.object
shape2.name = ""Shape 2""
shape2.data.materials.append(sculpture_material)

bpy.ops.mesh.primitive_torus_add(align='WORLD', location=(0, 0, 3), major_radius=0.3, minor_radius=0.1, rotation=(math.pi/4, 0, 0))
shape3 = bpy.context.object
shape3.name = ""Shape 3""
shape3.data.materials.append(sculpture_material)

bpy.ops.mesh.primitive_torus_add(align='WORLD', location=(0, 0, 4), major_radius=0.2, minor_radius=0.1, rotation=(0, 0, 0))
shape4 = bpy.context.object
shape4.name = ""Shape 4""
shape4.data.materials.append(sculpture_material)

# Step 4: Create Connecting Rods
bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=1, location=(0, 0, 1.5))
rod1 = bpy.context.object
rod1.name = ""Rod 1""
rod1.data.materials.append(sculpture_material)

bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=1, location=(0, 0, 2.5))
rod2 = bpy.context.object
rod2.name = ""Rod 2""
rod2.data.materials.append(sculpture_material)

bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=1, location=(0, 0, 3.5))
rod3 = bpy.context.object
rod3.name = ""Rod 3""
rod3.data.materials.append(sculpture_material)",8,gpt
"Graphic symbols and logos, surface patterns, ornamentation, arrangement of interiors and exteriors",Medium Bright,5.50774385,d92dfcf0-5b78-4bf5-9671-c884501d3b1e,Create an emblem symbolizing unity. The emblem should consist of three interlocking circles in a triangular formation.,Verbal Question,Emblem of Unity,5.666666667,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color
emblem_color = bpy.data.materials.new(name=""Emblem Color"")
emblem_color.diffuse_color = (0.5, 0.5, 0.5, 1)  # Medium gray color

# Step 2: Create the Circles
radius = 1
distance = radius * math.sqrt(3)

# Circle 1
bpy.ops.mesh.primitive_torus_add(major_radius=radius, minor_radius=0.1, location=(0, distance / 2, 0))
circle1 = bpy.context.object
circle1.name = ""Circle 1""
circle1.data.materials.append(emblem_color)

# Circle 2
bpy.ops.mesh.primitive_torus_add(major_radius=radius, minor_radius=0.1, location=(distance / 2, -distance / 4, 0))
circle2 = bpy.context.object
circle2.name = ""Circle 2""
circle2.data.materials.append(emblem_color)

# Circle 3
bpy.ops.mesh.primitive_torus_add(major_radius=radius, minor_radius=0.1, location=(-distance / 2, -distance / 4, 0))
circle3 = bpy.context.object
circle3.name = ""Circle 3""
circle3.data.materials.append(emblem_color)",3,gpt
Furnishing,Medium Bright,5.324896898,0c604358-74c4-48c8-b8d7-81d9d4ecaf9c,Create a 3D model of an apple. It should be round with a small stem at the top.,Design Question,Apple,9.5,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
apple_red = bpy.data.materials.new(name=""Apple Red"")
apple_red.diffuse_color = (0.8, 0.1, 0.1, 1)  # Red color
stem_brown = bpy.data.materials.new(name=""Stem Brown"")
stem_brown.diffuse_color = (0.4, 0.2, 0.1, 1)  # Brown color

# Step 2: Create the Apple
bpy.ops.mesh.primitive_uv_sphere_add(radius=1, location=(0, 0, 0))
apple = bpy.context.object
apple.name = ""Apple""
apple.data.materials.append(apple_red)

# Step 3: Create the Stem
bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=0.3, location=(0, 0, 1.15))
stem = bpy.context.object
stem.name = ""Stem""
stem.data.materials.append(stem_brown)",2,gpt
Articles of clothing and haberdashery,Dark,4.240126984,0ec38673-c468-459f-86aa-cd5aa75d1930,"Design a 3D model of a food processor. The base should be rectangular with a flat top. On top of the base, place a large, transparent container with a lid. Include a feed tube on the lid. Add a control panel with buttons on the front of the base.",Feature Question,Food Processor,5.875,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
base_color = bpy.data.materials.new(name=""Base Color"")
base_color.diffuse_color = (0.2, 0.2, 0.2, 1)  # Dark gray color
container_color = bpy.data.materials.new(name=""Container Color"")
container_color.diffuse_color = (1, 1, 1, 0.1)  # Transparent color
lid_color = bpy.data.materials.new(name=""Lid Color"")
lid_color.diffuse_color = (0.8, 0.8, 0.8, 1)  # Light gray color
button_color = bpy.data.materials.new(name=""Button Color"")
button_color.diffuse_color = (0.8, 0, 0, 1)  # Red color

# Step 2: Create the Base
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.5))
base = bpy.context.object
base.scale = (1, 1, 0.5)
base.name = ""Base""
base.data.materials.append(base_color)

# Step 3: Create the Container
bpy.ops.mesh.primitive_cylinder_add(radius=0.75, depth=1.5, location=(0, 0, 1.75))
container = bpy.context.object
container.name = ""Container""
container.data.materials.append(container_color)

# Step 4: Create the Lid
bpy.ops.mesh.primitive_cylinder_add(radius=0.8, depth=0.1, location=(0, 0, 2.5))
lid = bpy.context.object
lid.name = ""Lid""
lid.data.materials.append(lid_color)

# Step 5: Create the Feed Tube
bpy.ops.mesh.primitive_cylinder_add(radius=0.2, depth=0.5, location=(0, 0, 2.75))
feed_tube = bpy.context.object
feed_tube.name = ""Feed Tube""
feed_tube.data.materials.append(lid_color)

# Step 6: Create the Control Panel
bpy.ops.mesh.primitive_cube_add(size=0.5, location=(0, 1.05, 0.25))
control_panel = bpy.context.object
control_panel.scale = (1, 0.1, 0.5)
control_panel.name = ""Control Panel""
control_panel.data.materials.append(base_color)

# Step 7: Create the Buttons
for i in range(3):
    bpy.ops.mesh.primitive_cube_add(size=0.1, location=(-0.2 + i * 0.2, 1.1, 0.25))
    button = bpy.context.object
    button.name = f""Button {i + 1}""
    button.data.materials.append(button_color)",8,gpt
